key,0,1,2,3,4
203,1260,"黑色的法師，黑色的魔石","",272,249
204,1261,"預言的時刻，獻祭的鮮血","",273,249
205,1262,"他鄉的知己，異族的友人","",274,249
206,1263,"勸誘的迷霧，陰沉的門扉","",275,249
207,1264,"求索的旅途，綢繆的出路","",276,249
208,1265,"黑魔的引導，法師的真實","",277,249
209,1280,"騎士的誓約","",278,249
210,1281,"敬仰的背影","",279,249
211,1282,"失望、憤怒、責任","",280,249
212,1283,"勾心鬥角","",281,249
213,1284,"各懷異心","",282,249
214,1285,"高舉騎士的聖劍","",283,249
215,1300,"吟遊詩人的旋律","",284,249
216,1301,"弓兵的戰歌","",285,249
217,1302,"光陰神的境地","",286,249
218,1303,"罪孽深重的愚者","",287,249
219,1304,"渴求淨罪之地","",288,249
220,1305,"生命的讚歌","",289,249
221,1320,"覺醒的龍騎士","",290,249
222,1321,"戰神之槍","",291,249
223,1322,"無法抹消的爪痕","",292,249
224,1323,"雙龍邂逅","",293,249
225,1324,"邪龍之聲","",294,249
226,1325,"蒼天之龍騎士","",295,249
227,1400,"賢者的秘密","",185,250
228,1401,"臨時加入「黑渦團」","",186,250
229,1402,"黑渦團軍票","",187,250
230,1403,"帝國的目標","",188,250
231,1404,"巨艦揚帆","",189,250
232,1405,"動亂的大地","",190,250
233,1406,"入伍黑渦團","",191,250
234,1409,"托托·拉克千獄（利姆薩·羅敏薩）","",192,250
235,1410,"澤梅爾要塞（利姆薩·羅敏薩）","",193,250
236,1415,"路易索瓦盟主的秘計（利姆薩·羅敏薩）","",194,250
237,1416,"泡泡大作戰","",195,250
238,1417,"狂暴的海盜","",196,250
239,1418,"美味小甜餅大騷動","",197,250
240,1419,"地底秘境","",198,250
241,1425,"花油危機","",199,250
242,1426,"為王狼餞行","",200,250
243,1427,"地靈軍營地疲勞作戰","",201,250
244,1428,"天降奇兵","",202,250
245,1429,"路易索瓦盟主的引導（利姆薩·羅敏薩）","",203,250
246,1430,"利姆薩·羅敏薩的歧路","",204,250
247,1431,"向勝利前進（利姆薩·羅敏薩）","",205,250
248,1432,"月下之戰（利姆薩·羅敏薩）","",206,250
249,1433,"撼天猛牛討伐作戰","",207,250
250,1600,"賢者的刻印","",208,250
251,1601,"臨時加入「雙蛇黨」","",209,250
252,1602,"雙蛇黨軍票","",210,250
253,1603,"覺悟的資訊","",211,250
254,1604,"和諧新紀元","",212,250
255,1605,"破壞之力","",213,250
256,1606,"入伍雙蛇黨","",214,250
257,1609,"托托·拉克千獄（格里達尼亞）","",215,250
258,1610,"澤梅爾要塞（格里達尼亞）","",216,250
259,1615,"路易索瓦盟主的秘計（格里達尼亞）","",217,250
260,1616,"遙遠的循環","",218,250
261,1617,"衛國的決心","",219,250
262,1618,"閃光的種子","",220,250
263,1619,"烈風要塞","",221,250
264,1625,"吞噬屍骸之人","",222,250
265,1626,"凶鳥之舞","",223,250
266,1627,"鳥人軍採伐所急襲作戰","",224,250
267,1628,"萬眾一心","",225,250
268,1629,"路易索瓦盟主的引導（格里達尼亞）","",226,250
269,1630,"格里達尼亞的歧路","",227,250
270,1631,"向勝利前進（格里達尼亞）","",228,250
271,1632,"月下之戰（格里達尼亞）","",229,250
272,1633,"大肚子豪特珀克斯討伐作戰","",230,250
273,1800,"賢者的策略","",231,250
274,1801,"臨時加入「恆輝隊」","",232,250
275,1802,"恆輝隊軍票","",233,250
276,1803,"軍備的動脈","",234,250
277,1804,"真財實富","",235,250
278,1805,"內敵","",236,250
279,1806,"入伍恆輝隊","",237,250
280,1809,"托托·拉克千獄（烏爾達哈）","",238,250
281,1810,"澤梅爾要塞（烏爾達哈）","",239,250
282,1815,"路易索瓦盟主的秘計（烏爾達哈）","",240,250
283,1816,"艾斯泰姆的新製品","",241,250
284,1817,"爭執的結果","",242,250
285,1818,"士兵就是上帝","",243,250
286,1819,"灼熱聖域","",244,250
287,1825,"計中計","",245,250
288,1826,"父子機械師","",246,250
289,1827,"蜥蜴人軍祭台補給斷絕作戰","",247,250
290,1828,"狼煙峰起","",248,250
291,1829,"路易索瓦盟主的引導（烏爾達哈）","",249,250
292,1830,"烏爾達哈的歧路","",250,250
293,1831,"向勝利前進（烏爾達哈）","",251,250
294,1832,"月下之戰（烏爾達哈）","",252,250
295,1833,"苔角長老討伐作戰","",253,250
